"";"zoning";"coded_systemload";"loadunitcap";"throughput";"prediction";"low.bootstrap";"up.bootstrap";"low.analytical";"up.analytical"
4091;"FIFO";-0.944444444444444;6.44444444444445;6541.60117136058;6541.60117136058;6404;6685;6663.69487048499;6752.17574799681
4164;"FIFO";-0.944444444444444;6.54166666666667;6539.62892774021;6539.62892774021;6399;6685;6663.93943906927;6753.36694644412
4237;"FIFO";-0.944444444444444;6.63888888888889;6537.53603204038;6537.53603204038;6399;6683;6663.99857064256;6754.46733650944
4310;"FIFO";-0.944444444444444;6.73611111111111;6535.32260049054;6535.32260049054;6395;6678;6663.86944849025;6755.47966326454
4383;"FIFO";-0.944444444444444;6.83333333333333;6532.98875598708;6532.98875598708;6387;6675;6663.54936013135;6756.40658461762
4456;"FIFO";-0.944444444444444;6.93055555555556;6530.53462808195;6530.53462808195;6389;6673;6663.03572253539;6757.25064610168
4529;"FIFO";-0.944444444444444;7.02777777777778;6527.9603529707;6527.9603529707;6388;6673;6662.32610500267;6758.01425799853
4602;"FIFO";-0.944444444444444;7.125;6525.26607347987;6525.26607347987;6379;6669;6661.41824914143;6758.69967536331
4675;"FIFO";-0.944444444444444;7.22222222222222;6522.4519390538;6522.4519390538;6380;6666;6660.31008548156;6759.3089814115
4748;"FIFO";-0.944444444444444;7.31944444444445;6519.51810574076;6519.51810574076;6375;6665;6658.99974639396;6759.84407459784
4821;"FIFO";-0.944444444444444;7.41666666666667;6516.46473617859;6516.46473617859;6376;6659;6657.48557513282;6760.30665957108
4894;"FIFO";-0.944444444444444;7.51388888888889;6513.29199957967;6513.29199957967;6370;6656;6655.7661309698;6760.69824203478
4967;"FIFO";-0.944444444444444;7.61111111111111;6510.00007171523;6510.00007171523;6366;6653;6653.84019053715;6761.02012739753
5040;"FIFO";-0.944444444444444;7.70833333333333;6506.58913489917;6506.58913489917;6359;6656;6651.70674562866;6761.27342296346
5113;"FIFO";-0.944444444444444;7.80555555555556;6503.05937797127;6503.05937797127;6358;6649;6649.364997817;6761.45904330488
5186;"FIFO";-0.944444444444444;7.90277777777778;6499.41099627966;6499.41099627966;6352;6647;6646.81435032687;6761.57771837697
5259;"FIFO";-0.944444444444444;8;6495.6441916629;6495.6441916629;6349;6644;6644.05439765489;6761.63000388434
4;"FIFO";-0.916666666666667;1;6466.81745040545;6466.81745040545;6322;6613;6400.49930099441;6512.91986753508
77;"FIFO";-0.916666666666667;1.09722222222222;6471.59778559074;6471.59778559074;6327;6620;6410.02863854667;6519.70283289722
150;"FIFO";-0.916666666666667;1.19444444444444;6476.26154416201;6476.26154416201;6336;6621;6419.36693518918;6526.43078212466
